Outdoor_Temperature,occupant_count,cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,outdoor_temperature,heating_sp,cooling_sp,comfort_band
-21.333334,2.0,0.0,13.940381,0.0,14.497482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,13.940381,0.0,0.3489941,14.846477,14.846477,0.0,14.846477,14.846477,0.3489941,-0.0,19.01429,-21.333334,19.0,19.0,2.0
-21.225,2.0,0.0,15.047009,0.0,15.62279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,15.047009,0.0,0.33150965,15.9543,15.9543,0.0,15.9543,15.9543,0.33150965,-0.0,19.10139,-21.225,19.105263,19.105263,2.0
-21.7,2.0,0.0,16.257118,0.0,17.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,16.257118,0.0,0.2880229,17.288242,17.288242,0.0,17.288242,17.288242,0.2880229,-0.0,19.205652,-21.7,19.210526,19.210526,2.0
-22.8,2.0,0.0,16.980354,0.0,18.04923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,16.980354,0.0,0.2868664,18.336098,18.336098,0.0,18.336098,18.336098,0.2868664,-0.0,19.310705,-22.8,19.31579,19.31579,2.0
-22.45,2.0,0.0,16.94401,0.0,17.91766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,16.94401,0.0,0.28559592,18.203257,18.203257,0.0,18.203257,18.203257,0.28559592,-0.0,19.408815,-22.45,19.421053,19.421053,2.0
-23.9,1.0,0.0,17.843185,0.0,19.273962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,17.843185,0.0,0.28576687,19.559729,19.559729,0.0,19.559729,19.559729,0.28576687,-0.0,19.517975,-23.9,19.526316,19.526316,2.0
-25.0,1.0,0.0,19.34589,0.0,21.230656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.34589,0.0,0.28836483,21.51902,21.51902,0.0,21.51902,21.51902,0.28836483,-0.0,19.62293,-25.0,19.631578,19.631578,2.0
-25.0,0.0,0.0,18.759684,0.0,20.58734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,18.759684,0.0,0.32079515,20.908134,20.908134,0.0,20.908134,20.908134,0.32079515,-0.0,19.723087,-25.0,19.736841,19.736841,2.0
-23.9,1.0,0.0,18.131838,0.0,19.58576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,18.131838,0.0,0.43428206,19.40065,19.40065,0.0,19.40065,20.020042,0.43428206,-0.6193921,19.833553,-23.9,19.842106,19.842106,2.0
-21.1,1.0,0.0,16.169622,0.0,16.756685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,16.169622,0.0,0.43449864,14.634363,14.634363,0.0,14.634363,17.191183,0.43449864,-2.5568197,19.94629,-21.1,19.947369,19.947369,2.0
