Outdoor_Temperature,occupant_count,cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,outdoor_temperature,heating_sp,cooling_sp,comfort_band
-21.333334,3.0,0.0,6.889532,0.0,5.368747,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,6.889532,0.0,0.391112,5.759859,5.759859,0.0,5.759859,5.759859,0.391112,-0.0,18.855238,-21.333334,18.88889,18.88889,2.0
-21.225,3.0,0.0,5.557705,0.0,4.324236,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.557705,0.0,0.4183999,4.7426357,4.7426357,0.0,4.7426357,4.7426357,0.4183999,-0.0,18.888033,-21.225,18.88889,18.88889,2.0
-21.7,3.0,0.0,5.25962,0.0,4.119984,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.25962,0.0,0.38568112,4.5056653,4.5056653,0.0,4.5056653,4.5056653,0.38568112,-0.0,18.888868,-21.7,18.88889,18.88889,2.0
-22.8,3.0,0.0,5.2526836,0.0,4.1785583,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.2526836,0.0,0.38296568,4.561524,4.561524,0.0,4.561524,4.561524,0.38296568,-0.0,18.88889,-22.8,18.88889,18.88889,2.0
-22.45,3.0,0.0,5.203944,0.0,4.1196084,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.203944,0.0,0.38025025,4.499859,4.499859,0.0,4.499859,4.499859,0.38025025,-0.0,18.88889,-22.45,18.88889,18.88889,2.0
-23.9,3.0,0.0,5.3616567,0.0,4.330583,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.3616567,0.0,0.38025025,4.7108335,4.7108335,0.0,4.7108335,4.7108335,0.38025025,-0.0,18.88889,-23.9,18.88889,18.88889,2.0
-25.0,2.0,0.0,5.5591893,0.0,4.5578723,0.0,0.0,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.5591893,0.0,0.38568112,4.9435534,4.9435534,0.0,4.9435534,4.9435534,0.38568112,-0.0,18.88889,-25.0,18.88889,18.88889,2.0
-25.0,2.0,0.0,5.3711576,0.0,4.4037085,0.5376039,0.5930864,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.3711576,0.0,1.0582325,6.055027,6.055027,0.0,6.055027,6.055027,1.0582325,-0.0,18.88889,-25.0,18.88889,18.88889,2.0
-23.9,2.0,0.0,5.467875,0.0,4.416375,0.31591347,0.3485168,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.467875,0.0,0.5146462,4.599521,4.599521,0.0,4.599521,5.279538,0.5146462,-0.68001705,18.88889,-23.9,18.88889,18.88889,2.0
-21.1,2.0,0.0,5.4826717,0.0,4.2582636,1.3111014,1.4464115,0.0,0.0,0.0,0.0,9.41599,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,5.4826717,0.0,0.5157232,4.1732802,4.1732802,0.0,4.1732802,6.2203984,0.5157232,-2.0471182,18.88889,-21.1,18.88889,18.88889,2.0
