building_idx,cluster,bes_capacity_kwh,hvac_total_kw,nsl_mean
0,0,37.800000000000004,19.5916590988636,0.6605379761290322
1,0,21.0,26.372357715619728,0.5613235767473119
2,1,16.0,6.387376986443996,0.4707286603091398
3,0,32.400000000000006,19.589835427701473,0.9850309695564516
4,0,40.0,28.706289291381836,0.6808401423655913
5,1,16.5,7.446613773703575,0.5417442419623656
6,1,16.200000000000003,8.326334744691849,0.3809427526478495
7,0,38.5,26.772001266479492,0.9313203445161289
8,1,13.5,7.692023277282715,0.7150863653091397
9,1,14.4,7.940551832318306,0.5329649091801075
10,0,32.400000000000006,20.293481826782227,0.8264309466532257
11,3,25.0,7.688749624416232,0.8709899392204301
12,2,16.200000000000003,12.765929035842419,0.9180122362634409
13,1,13.5,12.05913708359003,0.41097248662634406
14,2,21.0,16.3624897133559,1.0030584773521507
15,1,14.4,16.462326049804688,0.5142959921908602
16,2,16.0,16.184263229370117,1.009137068454301
17,2,22.169999999999998,12.63716285303235,1.4188918972580644
18,0,35.0,18.77275848388672,1.0250459496370967
19,3,31.5,9.785736599937081,0.732401427513441
20,1,14.4,9.568697929382324,0.523962636438172
21,2,15.0,12.051277544349432,1.0848718270833333
22,1,10.5,6.665462017059326,0.5438324113575269
23,1,16.0,8.300153299234807,0.5016867875
24,1,24.0,11.169410891830921,0.4956880852419354
