building_idx,cluster,soc_mean,soc_std,soc_q10,soc_low_fraction,soc_high_fraction,soc_daily_range_mean
0,3,0.3319473639531161,0.2420223886393017,0.0946045257151126,0.2728494623655914,0.0282258064516129,0.5847948626164468
1,1,0.8733874182917819,0.1792989668583684,0.6004479050636291,0.0040322580645161,0.6075268817204301,0.3931069489448301
2,0,0.6421640236710304,0.3728652628431964,0.0,0.1545698924731182,0.4462365591397849,0.7292800497624182
3,4,0.1930830554676152,0.147102893485865,0.0921381838619709,0.5080645161290323,0.0013440860215053,0.3798942674071558
4,1,0.9581631878140552,0.1266535548624152,0.8749139606952667,0.0026881720430107,0.896505376344086,0.1091207486967886
5,2,0.1939130748846813,0.1994573035792271,0.0,0.428763440860215,0.0094086021505376,0.4234230807952343
6,0,0.6301986588145135,0.3237762114118906,0.0998038657009601,0.1021505376344086,0.3306451612903225,0.783686151187266
7,1,0.9309015113144352,0.2125904170252478,0.8912004411220551,0.0241935483870967,0.8924731182795699,0.0557596077842097
8,2,0.234265305299527,0.2980579373505386,0.0,0.4905913978494624,0.0712365591397849,0.6420102900555057
9,0,0.4461811008549493,0.4189985330672158,0.0,0.3897849462365591,0.2580645161290322,0.9553246671153652
10,3,0.3987045271762757,0.260571282432659,0.0972116768360138,0.2029569892473118,0.043010752688172,0.6800309631132311
11,3,0.2999147620672981,0.2347745673606267,0.1420845091342926,0.0026881720430107,0.053763440860215,0.351351608191767
12,2,0.316081695468916,0.301944203021848,0.0971348963677883,0.4408602150537634,0.1115591397849462,0.5207091906378346
13,0,0.6476168364796402,0.3833936764566484,0.0,0.1559139784946236,0.4677419354838709,0.7246913003224519
14,4,0.1118597116506588,0.1192619510410091,0.0393213953822851,0.6827956989247311,0.0,0.2393741441830512
15,0,0.7851320408254622,0.2971498089027234,0.3008693426847457,0.0551075268817204,0.5403225806451613,0.8202045162418677
16,2,0.1406458809277349,0.2313508592195063,0.0,0.6290322580645161,0.0201612903225806,0.5106587439001868
17,2,0.2222217855254007,0.2228054270700578,0.0992563970386982,0.5752688172043011,0.0362903225806451,0.534411087391838
18,3,0.3588511245024781,0.2257055779334103,0.1420725092291831,0.0188172043010752,0.021505376344086,0.541727802686153
19,4,0.1495792549178605,0.1156254834826813,0.0375580225139856,0.4529569892473118,0.0,0.3007559106354752
20,0,0.5903833632313297,0.4189531620355892,0.0,0.2688172043010752,0.4139784946236559,0.9142542433354164
21,3,0.3892920706020568,0.2922270837157043,0.1482737377285957,0.0013440860215053,0.1223118279569892,0.5261488590509661
22,0,0.4041164881920301,0.3707209355502525,0.0365464564412832,0.3817204301075269,0.1801075268817204,0.8259873826417231
23,2,0.2808770442984496,0.3355454040185653,0.0,0.4516129032258064,0.1169354838709677,0.6512897869632128
24,2,0.2040038255128566,0.2223955441743698,0.0,0.4045698924731182,0.010752688172043,0.554100691851589
