hour,baseline_load,rbc_load,target_load,rbc_diff,baseline_diff
0,222.66621,222.66620349884033,191.27918790891667,31.387015589923664,31.387026080341144
1,231.77142,231.77142477035522,191.27918790891667,40.492236861438556,40.49223543092708
2,236.36754,236.36754369735718,191.27918790891667,45.08835578844051,45.08835054323177
3,247.04242,247.0424246788025,191.27918790891667,55.76323676988582,55.76323152467708
4,244.61238,244.61236763000488,191.27918790891667,53.333179721088214,53.333193072528644
5,262.67545,262.6754517555237,191.27918790891667,71.39626384660701,71.39625764772396
6,292.05228,340.0642695426941,191.27918790891667,148.78508163377742,100.77308870241146
7,292.32388,340.2410750389099,191.27918790891667,148.96188712999324,101.04469514772396
8,272.24664,320.07000494003296,191.27918790891667,128.7908170311163,80.96745515748958
9,191.11903,238.84956169128418,191.27918790891667,47.57037378236751,-0.16015409544010595
10,96.963646,144.6022927761078,191.27918790891667,-46.67689513280888,-94.31554197385807
11,56.094406,103.64213824272156,191.27918790891667,-87.63704966619511,-135.18478178098698
12,44.455273,91.91303181648254,191.27918790891667,-99.36615609243412,-146.82391523435612
13,66.80676,114.17548179626465,191.27918790891667,-77.10370611265202,-124.47242521360417
14,89.50587,136.78647828102112,191.27918790891667,-54.49270962789555,-101.77332090452214
15,227.09857,192.77716827392578,191.27918790891667,1.4979803650091128,35.81938386842708
16,272.55103,238.208514213562,191.27918790891667,46.92932630464534,81.27183748170833
17,285.3212,250.9576153755188,191.27918790891667,59.67842746660213,94.04200960084896
18,283.9216,249.53696250915527,191.27918790891667,58.257774600238605,92.6424124328802
19,282.45047,248.0448293685913,191.27918790891667,56.76564145967464,91.17128206178646
20,283.7228,250.2564549446106,191.27918790891667,58.97726703569393,92.44362092897396
21,268.90414,239.4459571838379,191.27918790891667,48.16676927492122,77.6249563781927
22,258.44345,233.63402700424194,191.27918790891667,42.354839095325275,67.1642630188177
23,256.83163,234.1807622909546,191.27918790891667,42.90157438203792,65.5524466125677
24,258.6507,241.05622386932373,157.91577805208334,83.14044581724039,100.73491774869791
25,253.66472,236.72604608535767,157.91577805208334,78.81026803327433,95.74894057584635
26,255.6999,243.00647735595703,157.91577805208334,85.09069930387369,97.78412734342447
27,253.08064,249.83196449279785,157.91577805208334,91.91618644071451,95.16486464811197
28,257.0413,257.04128646850586,157.91577805208334,99.12550841642252,99.12551223111979
29,268.65118,268.651198387146,157.91577805208334,110.73542033506266,110.73540602994791
30,133.82886,181.7176468372345,157.91577805208334,23.801868785151157,-24.08692063020834
31,136.9851,184.78040552139282,157.91577805208334,26.864627469309482,-20.93067063020834
32,132.56413,180.26691269874573,157.91577805208334,22.351134646662388,-25.351645361653652
33,91.99495,139.6061863899231,157.91577805208334,-18.309591662160244,-65.92082871126303
34,28.604147,76.1247820854187,157.91577805208334,-81.79099596666464,-129.31163109468588
35,33.986794,81.41777539253235,157.91577805208334,-76.49800265955099,-123.92898453401693
36,61.17673,108.51898956298828,157.91577805208334,-49.39678848909506,-96.7390469424642
37,76.606094,123.67170310020447,157.91577805208334,-34.24407495187887,-81.30968369173178
38,80.674706,124.97039747238159,157.91577805208334,-32.94538057970175,-77.24107254671225
