hour,baseline_load,rbc_load,target_load,rbc_diff,baseline_diff
0,27.439629,27.43962824344635,0.0,27.43962824344635,27.43962860107422
1,25.706188,25.70618799328804,0.0,25.70618799328804,25.706188201904297
2,21.798708,21.798708826303482,0.0,21.798708826303482,21.798707962036133
3,26.542337,26.54233607649803,0.0,26.54233607649803,26.54233741760254
4,20.899303,20.899302542209625,0.0,20.899302542209625,20.899303436279297
5,24.880987,24.880987152457237,0.0,24.880987152457237,24.8809871673584
6,36.543816,67.77281838655472,0.0,67.77281838655472,36.54381561279297
7,28.926874,60.1558740735054,0.0,60.1558740735054,28.9268741607666
8,29.930773,61.15977090597153,0.0,61.15977090597153,29.93077278137207
9,2.5710247,33.800024569034576,0.0,33.800024569034576,2.5710246562957764
10,-15.133898,16.095102310180664,0.0,16.095102310180664,-15.13389778137207
11,-32.263943,-1.0349396467208862,0.0,-1.0349396467208862,-32.26394271850586
12,-30.99456,0.2344377040863037,0.0,0.2344377040863037,-30.99456024169922
13,-23.941904,7.287096261978149,0.0,7.287096261978149,-23.941904067993164
14,-22.880316,8.165064811706543,0.0,8.165064811706543,-22.88031578063965
15,-34.952877,-53.90955984592438,0.0,-53.90955984592438,-34.952877044677734
16,-17.134493,-36.155793607234955,0.0,-36.155793607234955,-17.134492874145508
17,6.3795586,-12.641741752624512,0.0,-12.641741752624512,6.379558563232422
18,33.576103,14.554802924394608,0.0,14.554802924394608,33.57610321044922
19,71.3157,52.29439455270767,0.0,52.29439455270767,71.3156967163086
20,62.873756,43.852455377578735,0.0,43.852455377578735,62.873756408691406
21,59.43935,40.418047189712524,0.0,40.418047189712524,59.43935012817383
22,52.92251,33.9012051820755,0.0,33.9012051820755,52.922508239746094
23,41.55117,22.52986976504326,0.0,22.52986976504326,41.551170349121094
24,38.75493,19.90377563238144,0.0,19.90377563238144,38.75492858886719
25,37.99957,21.677468806505203,0.0,21.677468806505203,37.999568939208984
26,38.33935,27.266857713460922,0.0,27.266857713460922,38.339351654052734
27,38.460926,34.953253507614136,0.0,34.953253507614136,38.4609260559082
28,38.24361,38.243613719940186,0.0,38.243613719940186,38.24361038208008
29,40.404808,40.40480875968933,0.0,40.40480875968933,40.404808044433594
30,77.5205,108.74949550628662,0.0,108.74949550628662,77.52050018310547
31,73.6935,104.92249369621277,0.0,104.92249369621277,73.69349670410156
32,58.964123,90.19312345981598,0.0,90.19312345981598,58.9641227722168
33,44.602474,75.8314745426178,0.0,75.8314745426178,44.602474212646484
34,16.645027,47.874027132987976,0.0,47.874027132987976,16.64502716064453
35,5.298987,36.527987241744995,0.0,36.527987241744995,5.298986911773682
36,1.7146063,32.94360625743866,0.0,32.94360625743866,1.7146062850952148
37,-10.121809,21.107190251350403,0.0,21.107190251350403,-10.121809005737305
38,-4.301635,21.865780115127563,0.0,21.865780115127563,-4.301634788513184
39,-29.527729,-47.55589723587036,0.0,-47.55589723587036,-29.527729034423828
