building_idx,cluster,bes_capacity_kwh,hvac_total_kw,pv_sizing_nominal_power_kw,pv_roof_area_m2,has_dhw_storage,has_cooling_storage,has_heating_storage,nsl_mean,nsl_std,nsl_max,nsl_sum,cooling_mean,cooling_std,cooling_max,cooling_sum,heating_mean,heating_std,heating_max,heating_sum,dhw_mean,dhw_std,dhw_max,dhw_sum,solar_mean,solar_std,solar_max,solar_sum,occupants_mean,occupants_std,occupants_max,occupants_sum,indoor_temp_mean,indoor_temp_std,indoor_temp_max,indoor_temp_sum,comfort_upper_excess_mean,comfort_lower_excess_mean
0,2,37.800000000000004,19.5916590988636,10.35,201.34958423912275,0.0,0.0,0.0,0.6605379761290322,0.8228865175259042,7.0687323,491.44025423999994,0.0037968370967741936,0.07539400552731312,1.7659289,2.8248468,6.608829442741935,3.7074847105602577,21.101242,4916.9691053999995,0.3432867785215054,0.915347137437461,13.4978695,255.40536322000003,0.0,0.0,0.0,0.0,1.4086021505376345,0.6368869034116738,2.0,1048.0,19.77751423790323,1.5902606291318266,23.988205,14714.470593000002,0.0031284516129031345,0.004021959677419255
1,1,21.0,26.372357715619728,13.8,255.93260925576897,0.0,0.0,0.0,0.5613235767473119,0.6844364192532142,5.1123614,417.62474110000005,5.3871424731182794e-05,0.0014684287143432082,0.04008034,0.04008034,9.90175472486559,3.9637187773515903,23.073769,7366.905515299999,0.4493081137244624,1.5143123971850638,17.800709,334.285236611,0.0,0.0,0.0,0.0,1.60752688172043,0.5479652604834798,2.0,1196.0,20.175477784946235,0.484409178124837,21.015068,15010.555472,0.0010716653225806092,0.0019305026881720384
2,0,16.0,6.387376986443996,5.04,175.53819827914327,0.0,0.0,0.0,0.4707286603091398,0.4829542285156492,5.3755035,350.22212327,0.0035310489126344083,0.03771960363787298,0.5222454,2.627100391,2.7656822411693547,1.451447635164934,7.747485,2057.66758743,0.31116950151747313,0.823590577850857,7.6039977,231.510109129,0.0,0.0,0.0,0.0,1.5658602150537635,0.5851808486454928,2.0,1165.0,17.663989103494625,0.49883234801671006,18.333334,13142.007893000002,0.0012133844086018814,0.002012235215053834
3,2,32.400000000000006,19.589835427701473,9.06,171.43538240220386,0.0,0.0,0.0,0.9850309695564516,0.7773301649932874,5.3872685,732.86304135,0.002187268817204301,0.059620631033935986,1.627328,1.627328,6.0260748854301065,3.287742538858717,19.467955,4483.399714759999,0.3499073472607527,0.964711027288,15.152109,260.331066362,0.0,0.0,0.0,0.0,1.7849462365591398,0.4913107849743104,2.0,1328.0,19.66210543817204,1.1955936411523664,21.111109,14628.606446,0.002096364247311658,0.0032611962365588294
4,1,40.0,28.706289291381836,18.2,402.69916056799383,0.0,0.0,0.0,0.6808401423655913,0.21231916585753416,1.5336721,506.54506591999996,0.0,0.0,0.0,0.0,14.599544755241935,4.842801499037758,28.72485,10862.0612979,0.5216604403951614,1.1126280612871342,9.816366,388.115367654,0.0,0.0,0.0,0.0,3.0013440860215055,0.9496735827972022,4.0,2233.0,22.8678032016129,0.3297961162539158,23.5,17013.645581999997,7.351747311827598e-05,0.00013919086021504367
5,0,16.5,7.446613773703575,5.2,126.71988278139312,0.0,0.0,0.0,0.5417442419623656,0.6270222027330092,8.077901,403.05771602,0.0038239480416666664,0.057657886203293526,1.4319512,2.845017343,2.5458661640107523,1.3209499442890613,7.813309,1894.1244260239998,0.22288421360215055,0.730366810035036,5.9486012,165.82585492,0.0,0.0,0.0,0.0,0.6841397849462365,0.464857547642236,1.0,509.0,20.11570640188172,0.7788606247201574,23.280277,14966.085563,0.0014788266129031106,0.002477616935483806
6,0,16.200000000000003,8.326334744691849,5.2,235.36660195297992,0.0,0.0,0.0,0.3809427526478495,0.15400673428363085,0.8320575,283.42140797,0.012402121439516129,0.15580403145844396,3.5736425,9.227178351,3.462727376182796,1.5225527717064908,8.727424,2576.26916788,0.2539392296801075,1.1280255265440828,16.694832,188.930786882,0.0,0.0,0.0,0.0,0.8669354838709677,0.33964444743934613,1.0,645.0,21.195602211021505,0.5458455063449803,22.499918,15769.528045,0.0015933709677419406,0.002395750000000013
7,2,38.5,26.772001266479492,16.75,175.53819827914327,0.0,0.0,0.0,0.9313203445161289,0.96522396533259,10.717534,692.9023363199999,0.0,0.0,0.0,0.0,14.20368620846774,5.370989716087857,31.245152,10567.542539099999,0.3618561370524193,1.169703766738603,11.353497,269.220965967,0.0,0.0,0.0,0.0,0.8924731182795699,0.30978194173952545,1.0,664.0,20.671749563172042,1.030989419767771,25.53771,15379.781674999998,0.0069805120967742235,0.009787497311827945
8,3,13.5,7.692023277282715,7.11,226.01841387894368,0.0,0.0,0.0,0.7150863653091397,0.7699610371846017,5.365362,532.02425579,0.0,0.0,0.0,0.0,4.009697529475806,1.8851117255177279,11.027802,2983.21496193,0.4505263960255377,0.8143228987738246,6.214425,335.19163864300003,0.0,0.0,0.0,0.0,2.317204301075269,0.8024992755718404,3.0,1724.0,18.97720716532258,1.9226053124966271,24.999996,14119.042130999998,0.002418844086021397,0.004241345430107578
9,0,14.4,7.940551832318306,8.18,126.71988278139312,0.0,0.0,0.0,0.5329649091801075,0.9170304830541499,13.022794,396.52589243,0.0077310156989247305,0.11164451355802589,2.2955241,5.7518756799999995,3.5289944027956994,1.4137165326318761,7.898479,2625.5718356800003,0.2701429180645161,1.0046737268462425,13.544862,200.98633103999998,0.0,0.0,0.0,0.0,0.6706989247311828,0.46995944196879164,1.0,499.0,17.438690842741934,0.4360663401378831,18.88884,12974.385987,0.0004013723118278911,0.0007229260752688636
