Outdoor_Temperature,occupant_count,cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,outdoor_temperature,heating_sp,cooling_sp,comfort_band
25.4,3.0,4.878007,0.0,1.4028249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878007,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.3547486,2.7575736,2.7575736,0.0,2.7575736,2.7575736,1.3547486,-0.0,24.444445,25.4,24.444445,24.444445,2.0
25.3,3.0,4.2866473,0.0,1.2258313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2866473,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.291519,2.5173502,2.5173502,0.0,2.5173502,2.5173502,1.291519,-0.0,24.444445,25.3,24.444445,24.444445,2.0
25.6,3.0,3.8842366,0.0,1.1295928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8842366,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.2596997,2.3892925,2.3892925,0.0,2.3892925,2.3892925,1.2596997,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.6,3.0,3.5694127,0.0,1.0380374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5694127,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.295671,2.3337083,2.3337083,0.0,2.3337083,2.3337083,1.295671,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.6,4.0,3.3136764,0.0,0.96366554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3136764,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.2574198,2.2210853,2.2210853,0.0,2.2210853,2.2210853,1.2574198,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.0,4.0,3.1088116,0.0,0.87393504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1088116,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.3889701,2.2629051,2.2629051,0.0,2.2629051,2.2629051,1.3889701,-0.0,24.444445,25.0,24.444445,24.444445,2.0
25.6,4.0,2.1496184,0.0,0.6251405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1496184,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.7868357,2.193658,2.193658,0.0,2.193658,2.411976,1.7868357,-0.218318,24.775826,25.6,24.777779,24.777779,2.0
26.7,4.0,2.078372,0.0,0.64137846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078372,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.3734684,2.538062,2.538062,0.0,2.538062,3.0148468,2.3734684,-0.47678474,24.999617,26.7,25.0,25.0,2.0
27.8,4.0,3.0448952,0.0,0.99378806,0.0,0.46399686,0.4872096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0448952,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.3799183,2.765062,2.765062,0.0,2.765062,3.8609161,2.3799183,-1.095854,24.999998,27.8,25.0,25.0,2.0
29.4,3.0,3.7513988,0.0,1.3214037,0.0,0.9279894,0.9744147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7513988,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.029822,2.6370277,2.6370277,0.0,2.6370277,4.3256407,2.029822,-1.688613,25.0,29.4,25.0,25.0,2.0
