building_idx,cluster,bes_capacity_kwh,soc_q10,heating_mean,nsl_mean
0,1,37.800000000000004,0.0946045257151126,6.608829442741935,0.6605379761290322
1,2,21.0,0.6004479050636291,9.90175472486559,0.5613235767473119
2,4,16.0,0.0,2.7656822411693547,0.4707286603091398
3,1,32.400000000000006,0.0921381838619709,6.0260748854301065,0.9850309695564516
4,3,40.0,0.8749139606952667,14.599544755241935,0.6808401423655913
5,4,16.5,0.0,2.5458661640107523,0.5417442419623656
6,4,16.200000000000003,0.0998038657009601,3.462727376182796,0.3809427526478495
7,3,38.5,0.8912004411220551,14.20368620846774,0.9313203445161289
8,4,13.5,0.0,4.009697529475806,0.7150863653091397
9,4,14.4,0.0,3.5289944027956994,0.5329649091801075
10,1,32.400000000000006,0.0972116768360138,8.487937245645162,0.8264309466532257
11,0,25.0,0.1420845091342926,4.382172941236559,0.8709899392204301
12,0,16.200000000000003,0.0971348963677883,3.995811995201613,0.9180122362634409
13,4,13.5,0.0,5.01493613001344,0.41097248662634406
14,0,21.0,0.0393213953822851,8.492016696962366,1.0030584773521507
15,2,14.4,0.3008693426847457,7.6218738190457,0.5142959921908602
16,0,16.0,0.0,8.973333345698924,1.009137068454301
17,0,22.169999999999998,0.0992563970386982,4.157492948736559,1.4188918972580644
18,1,35.0,0.1420725092291831,9.220152837634409,1.0250459496370967
19,1,31.5,0.0375580225139856,4.937917682284946,0.732401427513441
20,4,14.4,0.0,5.04269947922043,0.523962636438172
21,0,15.0,0.1482737377285957,4.409110876182796,1.0848718270833333
22,4,10.5,0.0365464564412832,4.07869838094086,0.5438324113575269
23,4,16.0,0.0,3.420126489301075,0.5016867875
24,4,24.0,0.0,3.915068614301075,0.4956880852419354
