building_idx,cluster,bes_capacity_kwh,hvac_total_kw,heating_mean,nsl_mean
0,0,37.800000000000004,19.5916590988636,6.608829442741935,0.6605379761290322
1,0,21.0,26.372357715619728,9.90175472486559,0.5613235767473119
2,2,16.0,6.387376986443996,2.7656822411693547,0.4707286603091398
3,0,32.400000000000006,19.589835427701473,6.0260748854301065,0.9850309695564516
4,3,40.0,28.706289291381836,14.599544755241935,0.6808401423655913
5,2,16.5,7.446613773703575,2.5458661640107523,0.5417442419623656
6,2,16.200000000000003,8.326334744691849,3.462727376182796,0.3809427526478495
7,3,38.5,26.772001266479492,14.20368620846774,0.9313203445161289
8,2,13.5,7.692023277282715,4.009697529475806,0.7150863653091397
9,2,14.4,7.940551832318306,3.5289944027956994,0.5329649091801075
10,0,32.400000000000006,20.293481826782227,8.487937245645162,0.8264309466532257
11,1,25.0,7.688749624416232,4.382172941236559,0.8709899392204301
12,1,16.200000000000003,12.765929035842419,3.995811995201613,0.9180122362634409
13,2,13.5,12.05913708359003,5.01493613001344,0.41097248662634406
14,1,21.0,16.3624897133559,8.492016696962366,1.0030584773521507
15,0,14.4,16.462326049804688,7.6218738190457,0.5142959921908602
16,1,16.0,16.184263229370117,8.973333345698924,1.009137068454301
17,1,22.169999999999998,12.63716285303235,4.157492948736559,1.4188918972580644
18,0,35.0,18.77275848388672,9.220152837634409,1.0250459496370967
19,1,31.5,9.785736599937081,4.937917682284946,0.732401427513441
20,2,14.4,9.568697929382324,5.04269947922043,0.523962636438172
21,1,15.0,12.051277544349432,4.409110876182796,1.0848718270833333
22,2,10.5,6.665462017059326,4.07869838094086,0.5438324113575269
23,2,16.0,8.300153299234807,3.420126489301075,0.5016867875
24,2,24.0,11.169410891830921,3.915068614301075,0.4956880852419354
